route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Mopa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 159022,A/C Seater (2+3),08:00,01h 10m,09:10,200,3.5,42 Seats available
"Mopa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 159023,A/C Seater (2+3),10:15,01h 10m,11:25,200,4.7,40 Seats available
"Mopa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 158988,A/C Seater (2+3),11:30,01h 25m,12:55,200,5.0,47 Seats available
"Mopa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 159021,A/C Seater (2+3),12:00,01h 10m,13:10,200,4.3,48 Seats available
"Mopa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 160438,N/A,13:30,01h 10m,14:40,200,4.4,47 Seats available
"Goa to Miraj
From INR 505",https://www.redbus.in/bus-tickets/goa-to-miraj,Vaibhav Travels,A/C Sleeper (2+1),20:00,09h 42m,05:42,500,3.4,35 Seats available
"Goa to Miraj
From INR 505",https://www.redbus.in/bus-tickets/goa-to-miraj,Humsafar Travels,A/C Sleeper (2+1),19:00,07h 05m,02:05,1250,2.6,14 Seats available
"Goa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99708,AC Seater (2+2),07:30,01h 40m,09:10,200,4.3,41 Seats available
"Goa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 151354,Volvo AC Seater 2+2,08:00,01h 30m,09:30,200,3.9,40 Seats available
"Goa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater (2+2),13:45,01h 45m,15:30,200,3.5,41 Seats available
"Goa Airport to Calangute (goa)
From INR 200",https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater (2+2),16:00,01h 30m,17:30,200,4.4,42 Seats available
"Shivamogga to Goa
From INR 450",https://www.redbus.in/bus-tickets/shimoga-to-goa,Sea Bird Tourist,NON A/C Sleeper (2+1),23:45,08h 15m,08:00,700,4.6,29 Seats available
"Goa to Mopa Airport
From INR 150",https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158962,A/C Seater (2+3),05:15,02h 00m,07:15,400,3.6,47 Seats available
"Goa to Mopa Airport
From INR 150",https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158962,A/C Seater (2+3),06:45,00h 30m,07:15,150,3.7,47 Seats available
"Goa to Mopa Airport
From INR 150",https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159017,A/C Seater (2+3),06:45,00h 30m,07:15,150,3.7,47 Seats available
"Goa to Mopa Airport
From INR 150",https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159018,A/C Seater (2+3),07:45,00h 30m,08:15,150,3.7,47 Seats available
"Goa to Mopa Airport
From INR 150",https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158965,N/A,08:30,02h 00m,10:30,400,2.7,47 Seats available
"Goa to Satara
From INR 700",https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,AC Sleeper (2+1),20:00,09h 25m,05:25,733,4.7,20 Seats available
"Goa to Satara
From INR 700",https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,07h 40m,06:10,999,4.8,21 Seats available
"Goa to Satara
From INR 700",https://www.redbus.in/bus-tickets/goa-to-satara,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,09h 30m,08:00,710,4.3,23 Seats available
"Goa to Satara
From INR 700",https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,09h 40m,05:41,600,4.4,22 Seats available
"Goa to Satara
From INR 700",https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels(M.Dev),N/A,22:00,08h 50m,06:50,800,3.8,32 Seats available
"Mopa Airport to Goa
From INR 150",https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159022,A/C Seater (2+3),08:00,00h 25m,08:25,150,3.7,42 Seats available
"Mopa Airport to Goa
From INR 150",https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159654,A/C Seater (2+3),08:15,00h 30m,08:45,150,3.7,42 Seats available
"Mopa Airport to Goa
From INR 150",https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159023,A/C Seater (2+3),10:15,00h 30m,10:45,150,3.7,40 Seats available
"Mopa Airport to Goa
From INR 150",https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159664,A/C Seater (2+3),10:30,00h 30m,11:00,150,3.7,47 Seats available
"Mopa Airport to Goa
From INR 150",https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159664,N/A,10:30,02h 00m,12:30,400,4.9,47 Seats available
"Shirdi to Goa
From INR 1200",https://www.redbus.in/bus-tickets/shirdi-to-goa,PSR Travels Goa,A/C Sleeper (2+1),18:00,15h 00m,09:00,1299,3.7,19 Seats available
